Unnamed: 0,Unnamed: 1,Oyster canned,"Beef, 97%","Beef, 90%",Beef 80%,"sardine with bones, canned",salmon raw pink ,"Talipia, fish",turkey breast only,duck breast only,beef heart,whitefish raw,deer ground meat,quial meat with skin ,quial meat only,"egg white, raw","Beef tongue, raw","pork loin, lean bonless",pork shoulder lean,"pork loin, bonless",beef liver,chikcen liver,"chicken breast, meat only",Chicken thigh with skin ,"Chicken heart, raw","Chicken Gizzards, raw  ",beef kidney ,Beef Heart,ground lamb meat,Lamb liver,Lamb kidney,Lamb heart,"Ostrich, ground",Rabbit meat,Trout,"Shrimp, raw"
Vitamin B-6,mg,0.6375838926174494,1.5912698412698414,1.2058823529411766,0.847769028871391,0.4133663366336634,2.493877551020408,2.789954337899543,3.239043824701196,2.571428571428571,1.2183406113537116,1.102941176470588,1.6111111111111114,1.9736842105263153,1.7666666666666668,0.040322580645161275,0.8732394366197183,2.827715355805243,1.514598540145985,2.40133779264214,3.6986301369863015,3.6297872340425528,3.107279693486591,1.035820895522388,1.3636363636363633,0.5410628019323671,3.0090497737556574,1.2183406113537116,0.3209876543209877,0.7465753424657533,0.9105263157894736,1.6738197424892707,1.6435986159169544,0,1.297709923664122,0.9470588235294117
"Folate, total, ug",mg,0.06040268456375837,0.015873015873015872,0.0196078431372549,0.01837270341207349,0.024752475247524754,0.0163265306122449,0.018264840182648397,0.02788844621513945,0.10204081632653061,0.013100436681222705,0.0551470588235294,0.01388888888888889,0.026315789473684206,0.02333333333333333,0.03225806451612902,0.019718309859154928,0,0.01824817518248175,0,0.9931506849315067,2.502127659574468,0.03448275862068967,0.008955223880597014,0.27272727272727265,0.024154589371980673,0.44343891402714947,0.013100436681222705,0.044444444444444446,0,0,0.008583690987124465,0.024221453287197228,0,0.04198473282442748,0.11176470588235295
"Choline, total",mg,543.6241610738252,288.88888888888886,216.01307189542487,148.03149606299212,185.64356435643566,386.1224489795918,431.96347031963455,244.22310756972115,0,0,238.97058823529412,305.20833333333337,0,0,8.87096774193548,0,222.84644194756552,0,191.63879598662203,1140.4109589041095,825.531914893617,314.5593869731801,136.4179104477612,0,5.845410628019323,0,0,171.11111111111111,0,0,0,0,0,248.09160305343508,475.88235294117646
"Vitamin B-12, ug",mg,0.12818791946308722,0.008968253968253967,0.007222222222222224,0.005616797900262468,0.022128712871287128,0.01693877551020408,0.018949771689497713,0.002509960159362551,0.0031020408163265306,0.03733624454148471,0.0036764705882352936,0.006493055555555557,0.0014144736842105262,0.0015666666666666667,0.0007258064516129028,0.01067605633802817,0.0019101123595505617,0.0030656934306569337,0.0018060200668896318,0.20308219178082187,0.07063829787234042,0.0008045977011494254,0.0018507462686567161,0.027613636363636358,0.3091787439613526,0.12443438914027152,0.03733624454148471,0.005703703703703704,0.20205479452054795,0.2652631578947368,0.04377682403433476,0.015951557093425602,0,0.01641221374045801,0.006529411764705884
"Vitamin A, IU",IU,2013.4228187919455,55.55555555555555,45.75163398692811,36.74540682414698,267.3267326732673,477.5510204081633,534.2465753424656,79.68127490039842,216.3265306122449,0,441.17647058823525,0,799.3421052631578,190,0,0,0,21.897810218978098,16.72240802675585,57876.71232876712,47234.04255319149,114.9425287356322,232.8358208955224,113.6363636363636,1.5942028985507246,6334.841628959278,0,0,176027.39726027395,1073.6842105263158,0,0,0,1068.7022900763359,1058.8235294117646
Vitamin E (alpha-tocopherol),mg,5.704697986577179,0.6746031746031745,0.5555555555555557,0.4461942257217848,5.0495049504950495,1.6326530612244898,1.8264840182648396,0.23904382470119526,0,0.9606986899563316,0.7352941176470588,1.5625000000000004,0,0,0,0,0.48689138576779023,0,0.4013377926421403,1.3013698630136985,2.978723404255319,2.145593869731801,0.6268656716417911,0,0,0.9954751131221722,0,0.49382716049382713,2.9452054794520546,2.2105263157894735,0,0.8304498269896192,0,8.931297709923662,7.764705882352942
"Vitamin D (D2 + D3), International Units",IU,6.711409395973152,11.904761904761903,9.803921568627452,7.874015748031496,477.72277227722776,1775.5102040816325,566.2100456621002,19.920318725099605,0,0,1757.3529411764703,0,0,0,0,0,59.92509363295879,0,70.23411371237457,167.80821917808217,0,3.831417624521074,8.955223880597014,0,0,203.6199095022625,0.9606986899563316,4.938271604938271,0,26.31578947368421,0,0,0,2423.6641221374043,11.76470588235294
PUFA 18:2,g,0.3288590604026845,0.611111111111111,0.8594771241830067,1.1023622047244095,8.762376237623764,0.3306122448979592,0.7214611872146117,0.7968127490039842,2.0816326530612246,1.7248908296943228,1,0.7812500000000002,7.565789473684209,3.1000000000000005,0,1.6338028169014085,1.3071161048689135,2.2627737226277365,3.0535117056856182,1.023972602739726,2.0212765957446805,1.2222222222222225,9.253731343283581,7.234848484848483,1.188405797101449,1.321266968325792,1.7248908296943228,3.3580246913580245,0.6986301369863013,0.873684210526316,1.0300429184549356,2.6885813148788924,1.4117647058823528,1.8778625954198471,0.5588235294117647
PUFA 18:3,g,0.2483221476510066,0.12698412698412695,0.15032679738562094,0.17060367454068243,1.2326732673267327,0.19183673469387755,0.15068493150684928,0.03585657370517929,0.28571428571428575,0.06986899563318776,0.6727941176470588,0.36111111111111116,1.3815789473684206,0.06666666666666667,0,0,0.04868913857677902,0.10948905109489047,0.13712374581939796,0.0547945205479452,0.05106382978723404,0.04980842911877396,0.4835820895522388,0.26515151515151514,0.014492753623188406,0.05882352941176472,0.06986899563318776,1.037037037037037,0.5034246575342465,0.2631578947368421,0.5579399141630902,0.19377162629757783,0.3529411764705882,0.25572519083969464,0.03529411764705882
PUFA 20:5 n-3 (EPA),g,1.416107382550335,0,0,0,1.1707920792079207,0.7428571428571429,0.022831050228310498,0,0,0,1.165441176470588,0,0.032894736842105254,0.03333333333333333,0,0,0,0,0,0,0,0.01149425287356322,0.011940298507462687,0,0,0,0,0,0.44178082191780815,0.48947368421052634,0.1716738197424893,0,0,0.8282442748091602,0.4
PUFA 22:6 n-3 (DHA),g,1.5302013422818788,0,0,0,1.25990099009901,1.3591836734693878,0.3926940639269405,0.011952191235059764,0,0,3.4595588235294112,0,0,0,0,0,0,0,0,0,0,0.015325670498084296,0.020895522388059702,0,0,0,0,0,0.5582191780821918,0.1894736842105263,0.12875536480686695,0,0,1.9694656488549616,0.411764705882353
Tryptophan,g,0.530201342281879,0.4444444444444444,0.33333333333333337,0.22834645669291337,0.6831683168316832,0.9020408163265307,1.0091324200913239,1.0039840637450201,1.1265306122448981,0,0.7867647058823528,0.6666666666666667,0.9473684210526313,1.1366666666666667,1.0080645161290318,0.3211267605633803,0.8838951310861421,0.9051094890510947,0.7525083612040132,0.9006849315068493,0.7489361702127659,1.0842911877394639,0.4985074626865672,0.7537878787878787,0,0,0,0.47654320987654325,0.7842465753424658,0.8842105263157896,0.7639484978540773,0.6228373702422143,1.1294117647058823,0.8931297709923665,0.9117647058823529
Threonine,g,2.040268456375838,3.376984126984126,2.5326797385620923,1.7454068241469816,2.6732673267326734,4.36734693877551,4.885844748858446,3.422310756972112,3.461224489795918,0,3.0772058823529407,2.840277777777778,3.1085526315789465,3.6333333333333337,3.620967741935482,1.8253521126760566,3.7453183520599245,3.2591240875912404,3.2040133779264206,2.9760273972602738,3.0851063829787235,3.869731800766284,2.1940298507462686,2.6666666666666656,0,0,0,1.7506172839506173,3.3801369863013693,3.8210526315789473,3.334763948497855,3.0692041522491347,3.8235294117647056,3.4923664122137406,3.1764705882352944
Isoleucine,g,2.0604026845637575,3.8571428571428568,2.8921568627450984,1.9921259842519685,2.797029702970297,3.8938775510204082,4.356164383561643,2.7011952191235067,4.163265306122449,0,3.2352941176470584,3.225694444444445,3.322368421052631,3.9666666666666663,5.33064516129032,1.8056338028169014,4.119850187265917,3.33941605839416,3.511705685618729,3.311643835616438,3.459574468085106,4.214559386973182,2.182089552238806,3.15530303030303,0,0,0,1.9728395061728397,3.174657534246575,3.5842105263157897,3.0643776824034337,3.325259515570934,4.03921568627451,3.6717557251908395,3.688235294117647
Leucine,g,3.3355704697986566,6.825396825396825,5.098039215686276,3.5170603674540684,4.9504950495049505,6.36734693877551,7.123287671232875,6.533864541832671,6.857142857142858,0,5.698529411764706,5.694444444444445,5.296052631578947,6.233333333333333,8.225806451612899,3.126760563380282,7.153558052434455,5.729927007299269,6.086956521739129,6.541095890410959,6.425531914893617,7.126436781609197,3.940298507462687,5.1515151515151505,0,0,0,3.185185185185185,5.47945205479452,6.2105263157894735,6.008583690987125,5.674740484429065,6.666666666666667,6.488549618320611,6.8235294117647065
Lysine,g,3.5436241610738244,7.222222222222221,5.424836601307191,3.727034120734908,5.594059405940594,7.183673469387755,8.036529680365295,7.768924302788846,6.938775510204081,0,6.4338235294117645,6.111111111111112,5.394736842105262,6.333333333333332,6.499999999999997,3.2394366197183095,7.790262172284644,6.423357664233576,6.622073578595317,5.513698630136986,5.659574468085107,8.27586206896552,4.3283582089552235,4.924242424242423,0,0,0,3.6049382716049383,6.198630136986301,7.000000000000001,5.321888412017168,6.159169550173009,7.490196078431373,7.328244274809159,7.647058823529412
Methionine,g,1.0671140939597312,2.2460317460317456,1.6830065359477127,1.1601049868766404,1.8044554455445543,2.3551020408163263,2.634703196347031,2.466135458167331,2.1918367346938776,0,2.0772058823529407,1.7534722222222223,1.9440789473684206,2.296666666666667,3.21774193548387,0.8873239436619718,2.3108614232209734,1.890510948905109,1.9665551839464879,1.8595890410958902,1.8382978723404255,2.241379310344828,1.3074626865671644,1.4242424242424239,0,0,0,1.0493827160493827,2.3116438356164384,2.6105263157894734,1.5493562231759657,1.9550173010380618,2.1372549019607843,2.3587786259541983,2.335294117647059
Cystine,g,0.6241610738255031,0.8968253968253967,0.673202614379085,0.4645669291338582,0.6534653465346535,0.6489795918367347,0.7260273972602738,0.8884462151394424,1.2448979591836735,0,0.7536764705882352,0.701388888888889,1.1184210526315788,1.2666666666666666,2.314516129032257,0.5492957746478874,0.9662921348314606,0.9087591240875911,0.8227424749163877,1.2876712328767121,1.1574468085106382,0.9042145593869733,0.5462686567164179,0.799242424242424,0,0,0,0.4888888888888889,0.9280821917808219,1.0473684210526315,0.5922746781115881,0.7197231833910033,1.0745098039215688,0.8549618320610686,0.9529411764705884
Phenylalanine,g,1.6979865771812073,3.404761904761904,2.552287581699347,1.7585301837270342,2.378712871287129,3.4489795918367343,3.8584474885844737,3.0398406374501996,3.3959183673469386,0,2.738970588235294,2.840277777777778,2.717105263157894,3.1466666666666665,5.532258064516126,1.732394366197183,3.5243445692883886,2.8467153284671527,2.9999999999999996,3.6986301369863015,3.506382978723404,3.478927203065135,1.8865671641791044,2.636363636363636,0,0,0,1.6641975308641976,2.7910958904109586,3.152631578947368,3.055793991416309,2.8858131487889267,3.5098039215686274,3.1106870229007626,3.4882352941176467
Tyrosine,g,1.5167785234899323,2.6865079365079363,2.013071895424837,1.3858267716535433,2.056930693069307,3.0285714285714285,3.388127853881277,2.8007968127490046,3.085714285714286,0,2.367647058823529,2.3472222222222228,2.7927631578947363,3.3666666666666663,3.68548387096774,1.3577464788732394,3.191011235955056,2.485401459854014,2.71571906354515,2.7636986301369864,2.7787234042553193,3.10344827586207,1.7283582089552236,2.1098484848484844,0,0,0,1.3728395061728396,2.4554794520547945,2.773684210526316,2.201716738197425,2.2733564013840826,3.043137254901961,2.6870229007633584,3.0294117647058827
Valine,g,2.067114093959731,4.285714285714286,3.2124183006535953,2.215223097112861,3.1435643564356437,4.4897959183673475,5.02283105022831,3.0119521912350606,4.244897959183674,0,3.6139705882352935,3.6458333333333335,3.3881578947368416,3.933333333333333,6.524193548387094,2.008450704225352,4.382022471910112,3.8686131386861304,3.7458193979933108,4.315068493150685,4.2468085106382985,4.4444444444444455,2.280597014925373,3.3333333333333326,0,0,0,2.2049382716049384,3.595890410958904,4.078947368421053,3.515021459227468,3.453287197231833,4.352941176470589,4.122137404580153,3.7470588235294118
Arginine,g,3.4563758389261734,5.674603174603174,4.248366013071896,2.939632545931759,3.6386138613861383,5.26530612244898,5.890410958904108,5.338645418326695,5.183673469387755,0,4.191176470588235,4.479166666666668,4.210526315789473,4.6,5.2258064516129,2.6732394366197183,5.580524344569287,4.452554744525546,4.749163879598662,4.246575342465753,4.638297872340426,5.823754789272032,3.462686567164179,3.776515151515151,0,0,0,2.4296296296296296,4.7602739726027385,5.36842105263158,4.635193133047212,4.77508650519031,5.294117647058824,4.770992366412213,7.882352941176471
